,fv
sample 1,0.1427681818571428
sample 2,0.1771851797857143
sample 3,0.2319271966428571
sample 4,0.2924508114285714
sample 5,0.3837975633571428
sample 6,0.2006736356428571
sample 7,0.2136075283214285
sample 8,0.2834238551071428
sample 9,0.1893584471785714
sample 10,0.3026803568571429
sample 11,0.2870711571785714
sample 12,0.3322701673214286
sample 13,0.3418346913571429
sample 14,0.1005367572142857
sample 15,0.1885769275357142
sample 16,0.1623938580714285
sample 17,0.1506937769642857
sample 18,0.1784093098214286
sample 19,0.2927343475714285
sample 20,0.2548979774285714
sample 21,0.1894538545714285
sample 22,0.2773486437142857
sample 23,0.2505551035357143
sample 24,0.2160610683928571
sample 25,0.2287602964285713
sample 26,0.1630535975714286
sample 27,0.3022233637857143
sample 28,0.2080720229285714
sample 29,0.2147438593571429
sample 30,0.2659771733214286
sample 31,0.0126331849999999
sample 32,0.1163170694642857
sample 33,0.2401925401428571
sample 34,0.1348953843928571
sample 35,0.0945348603571428
sample 36,0.1078059432142857
sample 37,0.2155393105
sample 38,0.2101310735357142
sample 39,0.2780529974642857
sample 40,0.2292874857142857
sample 41,0.2861708890714285
sample 42,0.3261515411071429
sample 43,0.1850355851071428
sample 44,0.1446285693214285
sample 45,0.2618881746071428
sample 46,0.2537893369285714
sample 47,0.2229633019999999
sample 48,0.1827870025
sample 49,0.26168575825
sample 50,0.34057069775
sample 51,0.1013167675
